# Reference star for x-correlation of stars with good parallax
# P Jofre, Cambridge, Tue Dec  9 13:21:14 2014
star  spec  snr
    HIP85355     ADP.2014-09-18T12:11:45.613.fits   262.50
     HIP8552     ADP.2014-09-17T11:23:33.843.fits   115.90
    HIP86047     ADP.2014-09-18T12:09:43.770.fits    69.85
    HIP86101     ADP.2014-10-02T10:00:22.903.fits   135.60
    HIP86170     ADP.2014-09-18T12:09:43.770.fits    69.85
    HIP88635     ADP.2014-09-18T12:11:05.427.fits   532.70
     HIP8928     ADP.2014-10-01T10:19:51.673.fits   337.25
    HIP89931     ADP.2014-09-18T12:12:08.540.fits   532.00
    HIP89962     ADP.2014-09-17T11:24:16.123.fits   253.45
    HIP90238     ADP.2014-09-23T11:03:51.743.fits   169.70
    HIP91171     ADP.2014-10-06T10:07:45.990.fits    59.95
    HIP92646     ADP.2014-09-23T11:02:10.857.fits   110.50
    HIP92953     ADP.2014-09-18T12:13:25.133.fits   180.00
    HIP93085     ADP.2014-09-23T11:04:46.030.fits   266.25
     HIP9440     ADP.2014-09-18T12:16:21.593.fits   177.20
    HIP94929     ADP.2014-09-23T11:06:10.647.fits   152.80
     HIP9572     ADP.2014-09-18T12:14:52.867.fits   117.85
    HIP96508     ADP.2014-09-18T12:12:58.637.fits   217.50
      HIP966     ADP.2014-09-17T11:20:43.113.fits   108.75
    HIP98032     ADP.2014-09-18T12:11:58.177.fits   290.80
    HIP98842     ADP.2014-09-17T11:21:29.277.fits   357.30
