# list of HIP stars observed with HARPS with good parallax
# P Jofre, Cambridge, Tue Dec  9 13:21:14 2014
star  ra  dec  Bmag  Vmag  Jmag  Ksmag Plx e_Plx BV  n_obs
    HIP92646   283.16518400   -52.10737100    6.135    5.188    3.667    3.051   11.130    0.720    0.962     7
    HIP92953   284.07062900   -42.71067500    6.338    5.355    3.417    2.755   10.520    0.850    0.998     7
    HIP93085   284.43249600   -21.10665600    4.718    3.530  -99.900  -99.900    8.760    0.990    1.151     2
     HIP9440    30.31134500   -30.00183100    6.230    5.350    3.724    3.176   11.710    0.730    0.883     7
    HIP94929   289.75040000   -15.53657100    7.490    6.080    3.381    2.462    6.310    0.800    1.420     2
     HIP9572    30.74403800   -15.30592900    6.824    5.868    4.292    3.695    9.910    0.880    0.966     7
    HIP96508   294.29969300   -39.74361500    9.300    8.050    5.513    4.708    3.150    1.160    1.238     7
      HIP966     2.98356800   -42.17214100    7.590    6.530    4.776    4.151    7.970    0.790    1.041     9
    HIP98032   298.81540400   -41.86828800    5.204    4.127    2.070    1.394   17.240    0.850    1.063    10
    HIP98842   301.08164100   -32.05629800    6.200    4.990    2.819    2.034   10.050    0.840    1.208     4
